departure_port,arrival_port,Departure Delay,Arrival Delay,Date,real_fare_(AUD)
Brisbane,Adelaide,13.18681319,16.48351648,2010-08,
Brisbane,Cairns,15.23178808,16.55629139,2010-08,392.0
Brisbane,Canberra,20.0,16.66666667,2010-08,322.0
Brisbane,Darwin,32.25806452,29.03225806,2010-08,505.0
Brisbane,Hamilton Island,16.12903226,16.12903226,2010-08,223.0
Brisbane,Mackay,16.66666667,17.33333333,2010-08,209.0
Brisbane,Melbourne,18.55072464,16.52173913,2010-08,165.0
Brisbane,Newcastle,22.95081967,27.86885246,2010-08,166.0
Brisbane,Perth,11.29032258,16.12903226,2010-08,646.0
Brisbane,Proserpine,16.12903226,25.80645161,2010-08,195.0
Brisbane,Rockhampton,20.94594595,18.91891892,2010-08,84.0
Brisbane,Sydney,23.50813743,31.82640145,2010-08,209.0
Brisbane,Townsville,16.90140845,15.49295775,2010-08,293.0
Broome,Perth,19.29824561,14.03508772,2010-08,657.0
Cairns,Brisbane,16.32653061,18.36734694,2010-08,
Cairns,Melbourne,26.47058824,23.52941176,2010-08,688.0
Cairns,Sydney,17.58241758,20.87912088,2010-08,560.0
Cairns,Townsville,15.38461538,15.38461538,2010-08,195.0
Canberra,Adelaide,16.12903226,16.12903226,2010-08,
Canberra,Brisbane,8.403361345,10.92436975,2010-08,
Canberra,Melbourne,10.273972599999999,12.32876712,2010-08,123.0
Canberra,Sydney,14.09090909,13.63636364,2010-08,223.0
Coffs Harbour,Sydney,6.557377048999999,6.557377048999999,2010-08,268.0
Darwin,Brisbane,16.12903226,19.35483871,2010-08,
Darwin,Melbourne,6.451612902999999,9.677419355,2010-08,272.0
Darwin,Perth,3.8461538460000004,3.8461538460000004,2010-08,674.0
Gold Coast,Adelaide,3.225806452,3.225806452,2010-08,
Gold Coast,Melbourne,20.39800995,20.39800995,2010-08,
Gold Coast,Newcastle,7.692307692000001,7.692307692000001,2010-08,
Gold Coast,Sydney,16.33237822,15.75931232,2010-08,171.0
Hamilton Island,Brisbane,12.5,12.5,2010-08,
Hamilton Island,Sydney,20.0,13.33333333,2010-08,491.0
Hobart,Melbourne,20.30075188,18.04511278,2010-08,131.0
Hobart,Sydney,15.38461538,15.38461538,2010-08,265.0
Karratha,Perth,13.20754717,18.86792453,2010-08,454.0
Launceston,Melbourne,9.848484848,11.36363636,2010-08,195.0
Launceston,Sydney,3.225806452,3.225806452,2010-08,251.0
Mackay,Brisbane,16.89189189,18.24324324,2010-08,
Melbourne,Adelaide,12.17712177,11.80811808,2010-08,
Melbourne,Brisbane,21.73913043,21.44927536,2010-08,
Melbourne,Cairns,25.71428571,28.57142857,2010-08,
Melbourne,Canberra,15.60283688,17.73049645,2010-08,
Melbourne,Darwin,3.225806452,12.90322581,2010-08,
Melbourne,Gold Coast,19.8019802,19.30693069,2010-08,182.0
Melbourne,Hobart,16.54135338,17.29323308,2010-08,
Melbourne,Launceston,18.79699248,20.30075188,2010-08,
Melbourne,Mildura,6.451612902999999,6.451612902999999,2010-08,279.0
Melbourne,Newcastle,6.666666667,16.66666667,2010-08,152.0
Melbourne,Perth,11.9047619,13.49206349,2010-08,392.0
Melbourne,Sunshine Coast,37.5,28.125,2010-08,
Melbourne,Sydney,28.93401015,22.33502538,2010-08,108.0
Mildura,Melbourne,6.451612902999999,12.90322581,2010-08,
Newcastle,Brisbane,27.86885246,24.59016393,2010-08,
Newcastle,Gold Coast,7.692307692000001,7.692307692000001,2010-08,195.0
Newcastle,Melbourne,20.0,16.66666667,2010-08,
Newman,Perth,11.42857143,11.42857143,2010-08,
Perth,Adelaide,9.836065574,6.557377048999999,2010-08,
Perth,Brisbane,6.451612902999999,3.225806452,2010-08,
Perth,Broome,15.78947368,15.78947368,2010-08,
Perth,Darwin,3.8461538460000004,3.8461538460000004,2010-08,
Perth,Karratha,11.53846154,7.692307692000001,2010-08,
Perth,Melbourne,12.8,5.6,2010-08,
Perth,Newman,8.571428571,5.714285714,2010-08,505.0
Perth,Port Hedland,5.660377358,3.7735849060000004,2010-08,505.0
Perth,Sydney,8.053691275,11.40939597,2010-08,533.0
Port Hedland,Perth,9.433962264,15.09433962,2010-08,
Port Macquarie,Sydney,14.75409836,19.67213115,2010-08,223.0
Proserpine,Brisbane,29.03225806,22.58064516,2010-08,
Rockhampton,Brisbane,19.04761905,17.68707483,2010-08,
Sunshine Coast,Melbourne,43.75,37.5,2010-08,233.0
Sunshine Coast,Sydney,17.0212766,14.89361702,2010-08,279.0
Sydney,Adelaide,16.66666667,15.33333333,2010-08,
Sydney,Albury,12.90322581,14.51612903,2010-08,
Sydney,Ballina,20.0,20.0,2010-08,
Sydney,Brisbane,29.54954955,25.58558559,2010-08,
Sydney,Cairns,29.34782609,29.34782609,2010-08,
Sydney,Canberra,19.02654867,19.91150442,2010-08,
Sydney,Coffs Harbour,4.918032787,4.918032787,2010-08,
Sydney,Gold Coast,18.28571429,18.28571429,2010-08,
Sydney,Hamilton Island,13.33333333,26.66666667,2010-08,
Sydney,Hobart,20.65217391,19.56521739,2010-08,
Sydney,Launceston,3.225806452,0.0,2010-08,
Sydney,Melbourne,23.11621967,28.8633461,2010-08,
Sydney,Perth,15.43624161,8.724832215,2010-08,
Sydney,Port Macquarie,16.12903226,14.51612903,2010-08,
Sydney,Sunshine Coast,23.40425532,23.40425532,2010-08,
Sydney,Townsville,16.12903226,16.12903226,2010-08,386.0
Townsville,Brisbane,12.67605634,12.67605634,2010-08,
Townsville,Cairns,0.0,3.8461538460000004,2010-08,
Townsville,Sydney,19.35483871,22.58064516,2010-08,
Adelaide,Brisbane,17.46031746,19.04761905,2010-09,279.0
Adelaide,Canberra,20.51282051,16.66666667,2010-09,419.0
Adelaide,Gold Coast,16.09195402,13.79310345,2010-09,350.0
Adelaide,Melbourne,16.62011173,16.48044693,2010-09,152.0
Adelaide,Perth,16.83168317,9.405940594,2010-09,463.0
Adelaide,Port Lincoln,8.754208754,11.78451178,2010-09,257.0
Adelaide,Sydney,16.22641509,14.150943400000001,2010-09,180.0
Albury,Sydney,20.34482759,16.89655172,2010-09,243.0
Alice Springs,Melbourne,17.0212766,10.63829787,2010-09,646.0
Ballina,Sydney,21.47239264,25.15337423,2010-09,350.0
Brisbane,Adelaide,21.2,21.6,2010-09,
Brisbane,Cairns,18.98016997,16.14730878,2010-09,392.0
Brisbane,Canberra,18.88888889,15.92592593,2010-09,248.0
Brisbane,Darwin,20.0,25.0,2010-09,505.0
Brisbane,Hamilton Island,27.586206899999997,31.03448276,2010-09,505.0
Brisbane,Mackay,20.86956522,23.47826087,2010-09,209.0
Brisbane,Melbourne,18.53997683,16.91772885,2010-09,307.0
Brisbane,Newcastle,23.07692308,30.76923077,2010-09,166.0
Brisbane,Perth,27.77777778,20.0,2010-09,757.0
Brisbane,Proserpine,36.84210526,43.85964912,2010-09,293.0
Brisbane,Rockhampton,20.10869565,21.4673913,2010-09,82.0
Brisbane,Sydney,24.45742905,28.88146912,2010-09,223.0
Brisbane,Townsville,16.20795107,16.20795107,2010-09,336.0
Broome,Perth,17.90123457,14.19753086,2010-09,574.0
Cairns,Brisbane,15.0997151,18.51851852,2010-09,
Cairns,Melbourne,39.70588235,20.58823529,2010-09,942.0
Cairns,Sydney,24.01574803,17.32283465,2010-09,660.0
Cairns,Townsville,18.08510638,27.12765957,2010-09,274.0
Canberra,Adelaide,14.63414634,15.85365854,2010-09,
Canberra,Brisbane,10.0,12.22222222,2010-09,
Canberra,Melbourne,10.06423983,11.56316916,2010-09,166.0
Canberra,Sydney,16.13924051,16.61392405,2010-09,251.0
Coffs Harbour,Sydney,23.76237624,23.26732673,2010-09,316.0
Darwin,Brisbane,31.66666667,20.0,2010-09,
Darwin,Melbourne,38.88888889,34.72222222,2010-09,463.0
