departure_port,arrival_port,real_fare_(AUD),Date
Brisbane,Hobart,436,2023-01
Brisbane,Mackay,236,2023-01
Brisbane,Melbourne,296,2023-01
Brisbane,Mount Isa,768,2023-01
Brisbane,Perth,747,2023-01
Brisbane,Proserpine,205,2023-01
Brisbane,Rockhampton,378,2023-01
Brisbane,Sydney,185,2023-01
Brisbane,Townsville,238,2023-01
Brisbane,Newcastle,165,2023-01
Broome,Perth,482,2023-01
Bundaberg,Brisbane,414,2023-01
Cairns,Gold Coast,302,2023-01
Cairns,Melbourne,513,2023-01
Cairns,Sydney,440,2023-01
Cairns,Townsville,347,2023-01
Canberra,Melbourne,262,2023-01
Canberra,Sydney,477,2023-01
Coffs Harbour,Sydney,347,2023-01
Darwin,Melbourne,490,2023-01
Darwin,Perth,573,2023-01
Darwin,Sydney,487,2023-01
Devonport,Melbourne,433,2023-01
Dubbo,Sydney,409,2023-01
Gold Coast,Sydney,174,2023-01
Hamilton Island,Sydney,514,2023-01
Hobart,Melbourne,284,2023-01
Hobart,Sydney,263,2023-01
Kalgoorlie,Perth,684,2023-01
Karratha,Perth,893,2023-01
Launceston,Melbourne,184,2023-01
Launceston,Sydney,390,2023-01
Sunshine Coast,Melbourne,374,2023-01
Sunshine Coast,Sydney,179,2023-01
Melbourne,Gold Coast,214,2023-01
Melbourne,Mildura,367,2023-01
Melbourne,Perth,600,2023-01
Melbourne,Sydney,177,2023-01
Melbourne,Townsville,277,2023-01
Melbourne,Newcastle,267,2023-01
Paraburdoo,Perth,842,2023-01
Perth,Newman,770,2023-01
Perth,Port Hedland,901,2023-01
Perth,Sydney,922,2023-01
Port Macquarie,Sydney,316,2023-01
Sydney,Tamworth,359,2023-01
Sydney,Townsville,287,2023-01
Sydney,Wagga Wagga,398,2023-01
Newcastle,Gold Coast,167,2023-01
Adelaide,Alice Springs,647,2023-02
Adelaide,Brisbane,467,2023-02
Adelaide,Canberra,624,2023-02
Adelaide,Darwin,462,2023-02
Adelaide,Gold Coast,490,2023-02
Adelaide,Melbourne,306,2023-02
Adelaide,Perth,664,2023-02
Adelaide,Port Lincoln,357,2023-02
Adelaide,Sydney,409,2023-02
Albury,Sydney,394,2023-02
Armidale,Sydney,368,2023-02
Avalon,Gold Coast,241,2023-02
Avalon,Sydney,139,2023-02
Ayers Rock,Sydney,669,2023-02
Ballina,Sydney,119,2023-02
Brisbane,Cairns,214,2023-02
Brisbane,Canberra,460,2023-02
Brisbane,Darwin,415,2023-02
Brisbane,Emerald,526,2023-02
Brisbane,Gladstone,343,2023-02
Brisbane,Hamilton Island,464,2023-02
Brisbane,Hobart,462,2023-02
Brisbane,Mackay,188,2023-02
Brisbane,Melbourne,238,2023-02
Brisbane,Mount Isa,768,2023-02
Brisbane,Perth,573,2023-02
Brisbane,Proserpine,239,2023-02
Brisbane,Rockhampton,439,2023-02
Brisbane,Sydney,172,2023-02
Brisbane,Townsville,286,2023-02
Brisbane,Newcastle,197,2023-02
Broome,Perth,441,2023-02
Bundaberg,Brisbane,414,2023-02
Cairns,Gold Coast,382,2023-02
Cairns,Melbourne,494,2023-02
Cairns,Sydney,430,2023-02
Cairns,Townsville,347,2023-02
Canberra,Melbourne,293,2023-02
Canberra,Sydney,477,2023-02
Coffs Harbour,Sydney,347,2023-02
Darwin,Melbourne,519,2023-02
Darwin,Perth,677,2023-02
Darwin,Sydney,524,2023-02
Devonport,Melbourne,420,2023-02
Dubbo,Sydney,409,2023-02
Gold Coast,Sydney,174,2023-02
Hamilton Island,Sydney,472,2023-02
Hobart,Melbourne,247,2023-02
Hobart,Sydney,261,2023-02
Kalgoorlie,Perth,569,2023-02
Karratha,Perth,818,2023-02
Launceston,Melbourne,210,2023-02
Launceston,Sydney,435,2023-02
Sunshine Coast,Melbourne,326,2023-02
Sunshine Coast,Sydney,158,2023-02
Melbourne,Gold Coast,191,2023-02
Melbourne,Mildura,367,2023-02
Melbourne,Perth,686,2023-02
Melbourne,Sydney,188,2023-02
Melbourne,Townsville,244,2023-02
Melbourne,Newcastle,234,2023-02
Paraburdoo,Perth,842,2023-02
Perth,Newman,831,2023-02
Perth,Port Hedland,626,2023-02
Perth,Sydney,768,2023-02
Port Macquarie,Sydney,316,2023-02
Sydney,Tamworth,364,2023-02
Sydney,Townsville,252,2023-02
Sydney,Wagga Wagga,398,2023-02
Newcastle,Gold Coast,236,2023-02
Adelaide,Alice Springs,710,2023-12
Adelaide,Brisbane,492,2023-12
Adelaide,Canberra,921,2023-12
Adelaide,Darwin,413,2023-12
Adelaide,Gold Coast,614,2023-12
Adelaide,Melbourne,222,2023-12
Adelaide,Perth,654,2023-12
Adelaide,Port Lincoln,297,2023-12
Adelaide,Sydney,432,2023-12
Albury,Sydney,367,2023-12
Armidale,Sydney,436,2023-12
Avalon,Gold Coast,561,2023-12
Avalon,Sydney,295,2023-12
Ayers Rock,Sydney,1063,2023-12
Ballina,Sydney,338,2023-12
Brisbane,Cairns,446,2023-12
Brisbane,Canberra,609,2023-12
Brisbane,Darwin,554,2023-12
Brisbane,Emerald,438,2023-12
Brisbane,Gladstone,453,2023-12
Brisbane,Hamilton Island,550,2023-12
Brisbane,Hobart,514,2023-12
Brisbane,Mackay,302,2023-12
