Departing_Port,Arriving_Port,Month,Year,Average_Fare,Distance
Adelaide,Gold Coast,8,2014,358.0,1604.1628403102109
Adelaide,Melbourne,8,2014,146.0,641.6529269409299
Adelaide,Perth,8,2014,435.0,2115.440208283999
Adelaide,Port Lincoln,8,2014,295.0,245.00141173119508
Adelaide,Sydney,8,2014,166.0,1164.1801497410133
Adelaide,Brisbane,9,2014,279.0,1619.982413941602
Adelaide,Canberra,9,2014,560.0,970.2290464494174
Adelaide,Gold Coast,9,2014,384.0,1604.1628403102109
Adelaide,Melbourne,9,2014,202.0,641.6529269409299
Adelaide,Perth,9,2014,524.0,2115.440208283999
Adelaide,Port Lincoln,9,2014,295.0,245.00141173119508
Adelaide,Sydney,9,2014,179.0,1164.1801497410133
Adelaide,Brisbane,10,2014,266.0,1619.982413941602
Adelaide,Canberra,10,2014,549.0,970.2290464494174
Adelaide,Gold Coast,10,2014,396.0,1604.1628403102109
Adelaide,Melbourne,10,2014,120.0,641.6529269409299
Adelaide,Perth,10,2014,524.0,2115.440208283999
Adelaide,Port Lincoln,10,2014,298.0,245.00141173119508
Adelaide,Sydney,10,2014,179.0,1164.1801497410133
Adelaide,Brisbane,11,2014,227.0,1619.982413941602
Adelaide,Canberra,11,2014,559.0,970.2290464494174
Adelaide,Gold Coast,11,2014,414.0,1604.1628403102109
Adelaide,Melbourne,11,2014,125.0,641.6529269409299
Adelaide,Perth,11,2014,485.0,2115.440208283999
Adelaide,Port Lincoln,11,2014,298.0,245.00141173119508
Adelaide,Sydney,11,2014,192.0,1164.1801497410133
Adelaide,Brisbane,12,2014,355.0,1619.982413941602
Adelaide,Canberra,12,2014,549.0,970.2290464494174
Adelaide,Gold Coast,12,2014,465.0,1604.1628403102109
Adelaide,Melbourne,12,2014,151.0,641.6529269409299
Adelaide,Perth,12,2014,546.0,2115.440208283999
Adelaide,Port Lincoln,12,2014,359.0,245.00141173119508
Adelaide,Sydney,12,2014,291.0,1164.1801497410133
Adelaide,Brisbane,1,2015,227.0,1619.982413941602
Adelaide,Canberra,1,2015,523.0,970.2290464494174
Adelaide,Gold Coast,1,2015,387.0,1604.1628403102109
Adelaide,Melbourne,1,2015,115.0,641.6529269409299
Adelaide,Perth,1,2015,520.0,2115.440208283999
Adelaide,Port Lincoln,1,2015,297.0,245.00141173119508
Adelaide,Sydney,1,2015,260.0,1164.1801497410133
Adelaide,Brisbane,2,2015,240.0,1619.982413941602
Adelaide,Canberra,2,2015,523.0,970.2290464494174
Adelaide,Gold Coast,2,2015,387.0,1604.1628403102109
Adelaide,Melbourne,2,2015,145.0,641.6529269409299
Adelaide,Perth,2,2015,444.0,2115.440208283999
Adelaide,Port Lincoln,2,2015,297.0,245.00141173119508
Adelaide,Sydney,2,2015,178.0,1164.1801497410133
Adelaide,Brisbane,3,2015,240.0,1619.982413941602
Adelaide,Canberra,3,2015,523.0,970.2290464494174
Adelaide,Gold Coast,3,2015,342.0,1604.1628403102109
Adelaide,Melbourne,3,2015,120.0,641.6529269409299
Adelaide,Perth,3,2015,456.0,2115.440208283999
Adelaide,Port Lincoln,3,2015,297.0,245.00141173119508
Adelaide,Sydney,3,2015,229.0,1164.1801497410133
Adelaide,Brisbane,4,2015,175.0,1619.982413941602
Adelaide,Canberra,4,2015,491.0,970.2290464494174
Adelaide,Gold Coast,4,2015,276.0,1604.1628403102109
Adelaide,Melbourne,4,2015,124.0,641.6529269409299
Adelaide,Perth,4,2015,503.0,2115.440208283999
Adelaide,Port Lincoln,4,2015,298.0,245.00141173119508
Adelaide,Sydney,4,2015,139.0,1164.1801497410133
Adelaide,Brisbane,5,2015,190.0,1619.982413941602
Adelaide,Canberra,5,2015,529.0,970.2290464494174
Adelaide,Gold Coast,5,2015,339.0,1604.1628403102109
Adelaide,Melbourne,5,2015,114.0,641.6529269409299
Adelaide,Perth,5,2015,403.0,2115.440208283999
Adelaide,Port Lincoln,5,2015,298.0,245.00141173119508
Adelaide,Sydney,5,2015,157.0,1164.1801497410133
Adelaide,Alice Springs,6,2015,98.0,1316.720676860747
Adelaide,Brisbane,6,2015,225.0,1619.982413941602
Adelaide,Canberra,6,2015,529.0,970.2290464494174
Adelaide,Gold Coast,6,2015,409.0,1604.1628403102109
Adelaide,Melbourne,6,2015,132.0,641.6529269409299
Adelaide,Perth,6,2015,415.0,2115.440208283999
Adelaide,Port Lincoln,6,2015,298.0,245.00141173119508
Adelaide,Sydney,6,2015,170.0,1164.1801497410133
Adelaide,Alice Springs,7,2015,93.0,1316.720676860747
Adelaide,Brisbane,7,2015,224.0,1619.982413941602
Adelaide,Canberra,7,2015,568.0,970.2290464494174
Adelaide,Gold Coast,7,2015,325.0,1604.1628403102109
